SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;LOC_CODE;State_Code;State_Name;District_C;Dist_Name;Tehsil_Cod;Thsil_Name;Block_Code;Nyay_Panch;Village_Co;NAME_1;AREA;RES_HOUSE;HOUSEHOLDS;T_POPLN;T_M_POPLN;T_F_POPLN;POPLN_M6;POPLN_F6;M_SC;F_SC;M_ST;F_ST;M_LITERATE;F_LITERATE;T_M_WORKER;T_F_WORKER;M_INDCAT1;F_INDCAT1;M_INDCAT2;F_INDCAT2;M_INDCAT3;F_INDCAT3;M_INDCAT4;F_INDCAT4;M_INDCAT5A;F_INDCAT5A;M_INDCAT5B;F_INDCAT5B;M_INDCAT6;F_INDCAT6;M_INDCAT7;F_INDCAT7;M_INDCAT8;F_INDCAT8;M_INDCAT9;F_INDCAT9;M_MARGINAL;F_MARGINAL;M_NON_WORK;F_NON_WORK;State_Co_1;State_Na_1;District_1;Dist_Name_;Tehsil_C_1;Thsil_Na_1;Block_co_1;Village__1;Village_Na;MRGD_IN_TN;EDU_INST;RANG_EDU;P_SCH;M_SCH;H_SCH;PU_COLL;GR_COLL;IND_SCH;TR_SCH;ADLT_LT_CN;OTH_SCH;MED_INST;RANG_MED;H_CNTR;MCW_CNTR;MH_CNTR;CWC_CNTR;HC_CNTR;PHC_CNTR;PHS_CNTR;DISP_CNTR;FPC_CNTR;TB_CNTR;NH_CNTR;RP_CNTR;SMP_CNTR;CHW_CNTR;OTH_CNTR;DRNK_WAT;RANG_WAT;TAP;WELL;TANK;TUBE_WELL;HAND_PUMP;RIVER_WAT;FOUNTAIN;CANAL;LAKE;SPRING;NALA;OTH_FAC;PNT_FAC;RANG_PNT;PO;TO;PTO;PHONE;MRKT_FAC;RANG_MRKT;MK_MON;MKT_TUE;MK_WED;MK_THU;MK_FRI;MK_SAT;MK_SUN;MK_DAILY;MK_FORT;MK_MONTHLY;COMM_FAC;RANG_COMM;COMM_BS;TX_TEMP_FC;COMM_RS;COMM_NW;APP_PR;APP_KR;APP_NR;APP_NC;APP_NW;APP_FP;NEAR_TOWN;DIST_N_TWN;POWER_SUPL;POWER_ED;POWER_EAG;POWER_EO;POWER_EA;FOREST;IRR_GC;IRR_PC;IRR_W;IRR_WE;IRR_TW;IRR_TWE;IRR_TK;IRR_R;IRR_L;IRR_WF;IRR_O;IRR_TOTAL;UN_IRRIGAT;CULT_WASTE;N_AV_CULT;Area_vill_;HOUSEHOLD;TOT_POPLN;res_house_;FOUNT_IRR;NOT_AVAIL;loc_code_v;AGRI_LAND;ST_TOWN;CHK;CHC_CNTR
18;12;0001;01263500;1812000101263500;No.2 Dikrongchapori;266606;266606;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;15;OLD RIMA;0;7;7;38;18;20;4;6;0;0;18;20;3;2;9;13;9;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01264500;1812000101264500;Pathali Pahar;266635;266635;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;24;NONGTHI-II;0;4;4;20;10;10;1;4;0;0;10;10;2;1;6;5;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01263400;1812000101263400;Kerekjuli N.C.;266695;266695;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;14;NEW RIMA;0;17;17;81;37;44;8;5;0;0;36;44;11;5;25;34;23;34;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;12;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01263300;1812000101263300;Jaipur Pichala;266700;266700;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;13;MOTONGSA;0;16;16;76;38;38;6;9;0;0;37;38;11;4;25;27;24;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;13;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01263000;1812000101263000;No.3 Garubandha;266702;266702;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;9;OLD PUTAK;0;9;9;55;30;25;7;8;0;0;30;25;15;0;18;15;18;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01263200;1812000101263200;Jaipur N.C.;266713;266713;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;12;LONGSONG-II;0;5;5;31;11;20;3;7;0;0;11;20;3;0;8;10;8;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01263100;1812000101263100;No.5 Garubandha;266728;266728;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;8;NEW PUTAK;0;15;15;98;51;47;3;8;0;0;49;45;47;18;25;24;22;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;26;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01262800;1812000101262800;Drupanggrazing;266736;266736;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;7;TENGPUN;0;23;23;125;55;70;9;18;0;0;54;70;12;5;29;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;26;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01264900;1812000101264900;Garubandha Deori;266747;266747;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;11;LONGSONG-I;0;7;7;36;16;20;3;2;0;0;16;20;7;0;12;14;12;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01265100;1812000101265100;No.4 Garubandha;266768;266768;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;10;HURU PUTAK;0;8;8;57;32;25;6;4;0;0;32;25;15;3;21;15;21;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01265300;1812000101265300;No.2 Garubandha;266788;266788;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;34;NAMCHIK P W D CAMP;0;10;10;50;37;13;5;6;1;0;1;2;17;3;27;2;0;2;0;0;0;0;0;0;0;0;18;0;6;0;0;0;3;0;0;0;0;0;10;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01267900;1812000101267900;Bichabori;266798;266798;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;32;NAMGOI F.CAMP;0;19;19;64;35;29;6;7;0;0;8;7;21;8;25;10;0;0;0;0;16;9;0;0;0;0;0;0;1;0;1;0;4;0;3;1;0;0;10;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01264800;1812000101264800;Deotola;266802;266802;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;30;TIKHAKTAIPI;0;13;13;82;36;46;9;14;0;0;32;43;12;11;23;21;19;20;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;13;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01265000;1812000101265000;No.1 Garubandha;266803;266803;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;33;NAMPONG PLY;0;28;28;86;61;25;5;9;0;0;8;4;40;7;55;0;0;0;2;0;0;0;0;0;0;0;48;0;2;0;1;0;1;0;1;0;0;0;6;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01267800;1812000101267800;No.1 Rabar Chapari;266818;266818;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;37;TYPONG;0;17;17;86;44;42;9;14;0;0;26;23;12;3;24;0;8;0;10;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;20;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01265400;1812000101265400;Drupang Gaon;266839;266839;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;39;JAIRAMPUR;0;1191;1227;5129;3187;1942;503;472;11;0;309;210;2193;896;1980;172;21;3;92;27;100;31;0;0;0;0;381;17;329;12;183;1;40;0;834;81;0;6;1207;1764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01262700;1812000101262700;Jutulibari;266869;266869;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;6;MOSSANG PUTAK;0;8;8;35;17;18;4;4;0;0;17;18;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01265900;1812000101265900;Dhemagarh No.2;266904;266904;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;5;CHANGLAI;0;18;18;100;44;56;7;7;0;0;43;56;19;16;25;30;24;28;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;19;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01262500;1812000101262500;Rajgorh;266941;266941;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;4;LONGPANG;0;37;37;245;124;121;26;27;0;0;116;119;70;46;57;56;48;56;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;0;0;67;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01265800;1812000101265800;Balipathar;266948;266948;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;3;TIKHAK KHAMLANG-II;0;6;6;40;18;22;2;4;0;0;18;22;6;4;12;13;12;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01262400;1812000101262400;No.2 Rampur;266984;266984;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;2;TIKHAK KHAMLANG-I;0;5;5;25;12;13;2;1;0;0;12;13;2;7;7;9;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;12;0001;01262300;1812000101262300;Letekujan;267069;267069;1.0001e+17;3;Arunachal Pradesh;10;Changlang;10;KHAGAM(MIAO);40;40;1;SANGWAL KHAMLANG;0;18;18;81;33;48;2;9;0;0;33;48;13;14;23;29;21;29;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
